Grid;Lat/Lon hddd°mm.mmm';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;WGS 84;Supposed Vent;780000;10005500;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;;;
Name;Position;;Position UTM WGS84;;Distance Vent;Altitude;Thickness;Mass/area;Size -7 phi;Size -6 phi;Size - 5 phi;Size - 4 phi;Size - 3 phi;Size - 2 phi;Size - 1 phi;Size 0 phi;Size 1 phi;Size 2 phi;Size 3 phi;Size 4 phi;Size 5 phi;Size 6 phi;Size 7 phi;Size 8 phi;Size 9 phi;Size 10 phi;Size 11 phi;total;Md(phi);Sorting;SkG
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PL53;-78.68508;0.06387;757663;10007065;22.39175728;1616;14.0;140.0;0.0000;0.0000;0.0000;0.0000;6.6545;11.0528;16.9433;24.3868;24.3547;13.3912;1.7814;0.5248;0.4688;0.3311;0.0838;0.0218;0.0042;0.0006;0.0000;100.0000;-0.37;1.6;-0.12
PL54;-78.712534;0.042306;754606;10004680;25.4072359;1835;5.0;50.0;0.0000;0.0000;0.0000;1.1769;3.1731;10.0040;17.8113;24.7760;27.2904;13.3911;1.1769;0.4681;0.3696;0.2821;0.0676;0.0111;0.0016;0.0002;0.0000;100.0000;-0.28;1.45;-0.12
PL55;-78.745912;-0.004603;750889;9999491;29.72471029;1755;1.0;10.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1632;0.7073;5.8215;33.2971;39.3362;8.1066;3.5178;6.3289;2.2071;0.4611;0.0445;0.0062;0.0022;99.9997;2.25;1.15;0.15
PL56;-78.471724;-0.071288;781426;9992113;13.46273542;2583;12.0;120.0;0.0000;0.0000;8.7949;10.6542;11.6349;11.9477;13.0095;13.5069;14.3067;10.2127;3.8661;0.7908;0.5278;0.4975;0.1675;0.0661;0.0141;0.0025;0.0002;100.0000;-1.46;2.67;-0.07
PL57;-78.541513;0.00666;773653;10000737;7.935400305;2625;30.0;300.0;0.0000;0.0000;2.9079;7.9271;13.5307;15.1340;15.7329;14.8258;15.5904;10.2367;3.0046;0.4683;0.2585;0.2639;0.0831;0.0286;0.0063;0.0012;0.0001;100.0000;-1.33;2.26;-0.01
PL58;-78.489726;-0.034637;779421;9996168;9.349944652;2932;25.0;250.0;0.0000;0.0000;11.6764;17.3968;15.5826;11.9652;10.9808;9.9170;11.0693;7.7518;2.6207;0.3810;0.2543;0.2728;0.0858;0.0342;0.0092;0.0021;0.0002;100.0000;-2.55;2.67;0.18
PL59;-78.530062;-0.104011;774928;9988493;17.74720353;3215;6.0;60.0;0.0000;0.0000;0.0000;4.9215;10.0044;11.7647;12.8225;15.2610;20.3117;16.0725;5.6442;0.9528;0.7969;0.9706;0.3339;0.1098;0.0273;0.0058;0.0004;99.9999;-0.31;2.23;-0.16
PL60;-78.533797;-0.103677;774512;9988530;17.83533134;3253;9.0;90.0;0.0000;0.0000;2.2601;2.6902;8.5431;12.3624;15.1464;17.1003;20.0612;14.8862;4.9591;0.6159;0.4551;0.5916;0.2228;0.0847;0.0175;0.0032;0.0003;100.0000;-0.47;2.09;-0.11
PL61;-78.565824;-0.089714;770945;9990075;17.88640965;3094;10.5;105.0;0.0000;0.0000;0.0000;6.7376;7.4823;12.5248;15.6796;16.9504;19.4216;14.6866;4.9814;0.6354;0.3513;0.3838;0.1248;0.0333;0.0058;0.0010;0.0001;100.0000;-0.55;2.11;-0.09
PL62;-78.566499;-0.044971;770870;9995025;13.89541381;2697;15.0;150.0;0.0000;0.0000;4.1371;5.3942;12.5190;12.0455;14.2960;18.6619;13.5957;13.1971;4.1097;0.7814;0.5789;0.4920;0.1407;0.0417;0.0077;0.0012;0.0001;100.0000;-0.91;2.37;-0.08
